Accession	Organism	Kingdom	Sequence length	SP cleavage	transmembrane_term
P81417	Aedes albopictus	Metazoa	59	23	Null
P81999	Canis lupus familiaris	Metazoa	358	22	Null
P82143	Gloydius brevicaudus siniticus	Metazoa	200	19	Null
P83234	Ophiophagus hannah	Metazoa	190	20	Null
P83880	Pinus monticola	Viridiplantae	105	26	Null
P83958	Actinidia chinensis var. chinensis	Viridiplantae	225	24	Null
P86473	Actinidia chinensis var. chinensis	Viridiplantae	322	21	Null
P86797	Cupiennius salei	Metazoa	142	19	Null
P86929	Metaphire guillelmi	Metazoa	73	14	Null
P98184	Bryonia dioica	Viridiplantae	282	21	Null
Q00945	Lymnaea stagnalis	Metazoa	155	26	Null
Q02126	Hordeum vulgare	Viridiplantae	330	25	Null
Q04672	Glycine max	Viridiplantae	524	29	Null
Q04791	Anas platyrhynchos	Metazoa	557	25	Null
Q06575	Tamias sibiricus	Metazoa	196	23	Null
Q06K53	Phlebotomus duboscqi	Metazoa	399	18	Null
Q06KA2	Phlebotomus duboscqi	Metazoa	249	19	Null
Q07558	Hirudinaria manillensis	Metazoa	84	20	Null
Q08738	Bombyx mori	Metazoa	239	16	Null
Q09117	Populus deltoides	Viridiplantae	312	24	Null
Q17043	Aplysia kurodai	Metazoa	556	19	Null
Q17128	Blaberus discoidalis	Metazoa	72	21	Null
Q24824	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Amoebozoa	96	19	Null
Q25589	Faxonius limosus	Metazoa	135	26	Null
Q26427	Galleria mellonella	Metazoa	267	16	Null
Q29143	Trichosurus vulpecula	Metazoa	102	20	Null
Q29381	Sus scrofa	Metazoa	439	25	Null
Q4WZ11	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	87	19	Null
Q5FZI5	Protobothrops mucrosquamatus	Metazoa	144	23	Null
Q5MIW7	Aedes albopictus	Metazoa	332	21	Null
Q6T6T4	Bitis gabonica	Metazoa	140	26	Null
Q7ZT98	Ophiophagus hannah	Metazoa	239	18	Null
Q8JFQ0	Bombina maxima	Metazoa	96	19	Null
Q8MI35	Sus scrofa	Metazoa	152	32	Null
Q8MMG9	Pimpla hypochondriaca	Metazoa	585	32	Null
Q8MVA6	Ixodes scapularis	Metazoa	69	23	Null
Q8T4J9	Manduca sexta	Metazoa	180	15	Null
Q8WQK0	Cotesia rubecula	Metazoa	65	23	Null
Q90ZY0	Pseudopleuronectes americanus	Metazoa	68	22	Null
Q95VE9	Epiphyas postvittana	Metazoa	164	23	Null
Q965E2	Psoroptes ovis	Metazoa	143	17	Null
Q96X54	Aspergillus awamori	Fungi	628	25	Null
Q99MG7	Mesocricetus auratus	Metazoa	172	16	Null
Q9BKB4	Olivierus martensii	Metazoa	54	23	Null
Q9DEA2	Deinagkistrodon acutus	Metazoa	155	23	Null
Q9PVW8	Silurus asotus	Metazoa	308	23	Null
Q9PW68	Typhlonectes natans	Metazoa	97	28	Null
Q9SLP4	Tulipa saxatilis subsp. bakeri	Viridiplantae	314	26	Null
Q9TW98	Pinctada fucata	Metazoa	131	23	Null
A0A1S6EK92	Moringa oleifera	Viridiplantae	79	20	Null
A4LAR6	Grifola frondosa	Fungi	107	24	Null
A7L035	Chironex fleckeri	Metazoa	456	20	Null
B2KTG1	Bungarus fasciatus	Metazoa	83	24	Null
C0HL82	Stellaria media	Viridiplantae	81	31	Null
C0HL83	Stellaria media	Viridiplantae	81	31	Null
C0STK6	Elaphe climacophora	Metazoa	167	19	Null
C9X4J8	Tityus discrepans	Metazoa	86	20	Null
C9X4J9	Tityus discrepans	Metazoa	80	20	Null
F0UZ12	Cavia porcellus	Metazoa	170	15	Null
F2QXM5	Komagataella phaffii (strain ATCC 76273 / CBS 7435 / CECT 11047 / NRRL Y-11430 / Wegner 21-1)	Fungi	587	19	Null
F5CPD8	Micrurus altirostris	Metazoa	81	21	Null
F5CPE2	Micrurus altirostris	Metazoa	82	21	Null
O80327	Pyrus pyrifolia	Viridiplantae	244	22	Null
P01364	Aplysia californica	Metazoa	108	23	Null
P01543	Triticum aestivum	Viridiplantae	136	27	Null
P01545	Hordeum vulgare	Viridiplantae	127	18	Null
P02224	Chironomus thummi thummi	Metazoa	162	15	Null
P02226	Chironomus thummi thummi	Metazoa	161	16	Null
P02739	Neovison vison	Metazoa	129	18	Null
P02755	Bubalus bubalis	Metazoa	180	18	Null
P07596	Hordeum vulgare	Viridiplantae	203	22	Null
P08299	Nicotiana tabacum	Viridiplantae	168	30	Null
P08376	Sarcophaga peregrina	Metazoa	63	23	Null
P09585	Cyprinus carpio	Metazoa	210	23	Null
P09989	Trichosanthes kirilowii	Viridiplantae	289	23	Null
P0C293	Androctonus crassicauda	Metazoa	80	22	Null
P0DPU0	Scolopendra dehaani	Metazoa	210	23	Null
P0DPZ2	Scolopendra dehaani	Metazoa	101	23	Null
P0DUS9	Doratifera vulnerans	Metazoa	59	19	Null
P10562	Canavalia gladiata	Viridiplantae	445	26	Null
P11839	Ovis aries	Metazoa	222	15	Null
P14214	Tachypleus tridentatus	Metazoa	77	23	Null
P14612	Pseudechis australis	Metazoa	89	21	Null
P14946	Lolium perenne	Viridiplantae	263	23	Null
P15818	Bungarus multicinctus	Metazoa	87	21	Null
P17314	Triticum aestivum	Viridiplantae	168	25	Null
P22327	Trichoplusia ni	Metazoa	624	18	Null
P24330	Crotalus adamanteus	Metazoa	70	22	Null
P24336	Hottentotta judaicus	Metazoa	85	21	Null
P25289	Lymnaea stagnalis	Metazoa	137	31	Null
P25331	Bombyx mori	Metazoa	88	26	Null
P25404	Mirabilis jalapa	Viridiplantae	63	27	Null
P26461	Sus scrofa	Metazoa	97	26	Null
P26780	Sinapis alba	Viridiplantae	99	30	Null
P31420	Manduca sexta	Metazoa	274	18	Null
P32947	Diutina rugosa	Fungi	549	15	Null
P34170	Bombyx mori	Metazoa	160	20	Null
P34174	Bombyx mori	Metazoa	164	22	Null
P34754	Aspergillus niger	Fungi	479	19	Null
P35501	Myzus persicae	Metazoa	552	23	Null
P35759	Polistes exclamans	Metazoa	226	21	Null
P45590	Hyalophora cecropia	Metazoa	129	17	Null
P49125	Latrodectus tredecimguttatus	Metazoa	88	18	Null
P51919	Sparus aurata	Metazoa	95	25	Null
P58912	Phyllodiscus semoni	Metazoa	488	21	Null
P60302	Naja sputatrix	Metazoa	81	21	Null
P62928	Pisum sativum	Viridiplantae	130	26	Null
P80915	Macadamia integrifolia	Viridiplantae	102	26	Null
P82102	Mytilus galloprovincialis	Metazoa	96	20	Null
P83472	Lumbricus terrestris	Metazoa	86	22	Null
P83632	Galleria mellonella	Metazoa	236	17	Null
P84296	Chironomus thummi thummi	Metazoa	161	16	Null
P84685	Tityus obscurus	Metazoa	85	20	Null
P84688	Tityus obscurus	Metazoa	84	20	Null
P85840	Tityus serrulatus	Metazoa	416	24	Null
P86875	Vespa magnifica	Metazoa	357	26	Null
P97515	Meriones unguiculatus	Metazoa	348	18	Null
Q02942	Blaberus discoidalis	Metazoa	726	16	Null
Q07831	Entamoeba histolytica	Amoebozoa	97	20	Null
Q25588	Faxonius limosus	Metazoa	135	26	Null
Q28388	Equus caballus	Metazoa	180	18	Null
Q30HU9	Crassostrea virginica	Metazoa	90	19	Null
Q41159	Robinia pseudoacacia	Viridiplantae	285	31	Null
Q53B47	Ophiophagus hannah	Metazoa	78	21	Null
Q6IV20	Gallus gallus	Metazoa	104	22	Null
Q6T6C2	Theromyzon tessulatum	Metazoa	97	22	Null
Q6T6T5	Bitis gabonica	Metazoa	90	24	Null
Q765P3	Holotrichia diomphalia	Metazoa	187	19	Null
Q7Z0H4	Olivierus martensii	Metazoa	55	23	Null
Q867W1	Procambarus clarkii	Metazoa	76	27	Null
Q8HYA9	Sus scrofa	Metazoa	185	20	Null
Q8JGT9	Rhabdophis tigrinus tigrinus	Metazoa	237	18	Null
Q8RVH5	Glycine max	Viridiplantae	433	24	Null
Q8T0W2	Pimpla hypochondriaca	Metazoa	203	19	Null
Q8WRY4	Centruroides limpidus	Metazoa	84	19	Null
Q90WJ9	Takifugu pardalis	Metazoa	391	20	Null
Q9BJX2	Olivierus martensii	Metazoa	54	23	Null
Q9DEA1	Deinagkistrodon acutus	Metazoa	146	23	Null
Q9PWI4	Elaphe quadrivirgata	Metazoa	202	19	Null
Q9SW93	Lilium longiflorum	Viridiplantae	113	22	Null
Q9UAH3	Pinctada fucata	Metazoa	129	23	Null
Q9W7J5	Pseudonaja textilis	Metazoa	103	21	Null
Q9XTN0	Bombyx mori	Metazoa	196	23	Null
Q9Y0X9	Aedes albopictus	Metazoa	59	23	Null
A0AT29	Lens culinaris	Viridiplantae	118	25	Null
A2CKF7	Bungarus fasciatus	Metazoa	86	21	Null
B0JFB8	Antheraea mylitta	Metazoa	105	19	Null
B5LYJ9	Remusatia vivipara	Viridiplantae	256	23	Null
C0HJQ5	Mesobuthus eupeus	Metazoa	57	28	Null
C0HKR1	Agrotis ipsilon	Metazoa	73	20	Null
C0STK7	Elaphe climacophora	Metazoa	332	23	Null
C6JUP3	Micrurus corallinus	Metazoa	82	21	Null
C9X4K4	Tityus discrepans	Metazoa	82	20	Null
E0XKJ8	Tabanus yao	Metazoa	256	16	Null
F5CPD5	Micrurus altirostris	Metazoa	81	21	Null
F5CPE0	Micrurus altirostris	Metazoa	80	21	Null
F5CPE4	Micrurus altirostris	Metazoa	83	21	Null
F8S0Y4	Crotalus adamanteus	Metazoa	240	19	Null
I6S390	Scolopendra mutilans	Metazoa	76	22	Null
O76537	Trichoplusia ni	Metazoa	182	16	Null
P00719	Struthio camelus	Metazoa	204	19	Null
P02223	Chironomus thummi thummi	Metazoa	161	16	Null
P02896	Trypanosoma brucei brucei	Discoba	526	33	Null
P03998	Limulus polyphemus	Metazoa	195	20	Null
P06306	Felis catus	Metazoa	110	24	Null
P09319	Oreochromis mossambicus	Metazoa	212	24	Null
P09350	Physarum polycephalum	Amoebozoa	246	19	Null
P0DPU3	Scolopendra dehaani	Metazoa	577	25	Null
P0DPV3	Scolopendra dehaani	Metazoa	73	23	Null
P0DUQ6	Conus planorbis	Metazoa	70	21	Null
P0DUS7	Doratifera vulnerans	Metazoa	56	19	Null
P11919	Manduca sexta	Metazoa	88	26	Null
P12548	Chironomus thummi thummi	Metazoa	161	16	Null
P12549	Chironomus thummi thummi	Metazoa	161	16	Null
P12550	Chironomus thummi thummi	Metazoa	162	16	Null
P15570	Phytophthora cryptogea	Sar	118	20	Null
P16094	Momordica charantia	Viridiplantae	286	23	Null
P18684	Protophormia terraenovae	Metazoa	101	18	Null
P20797	Antheraea polyphemus	Metazoa	163	21	Null
P21814	Ovis aries	Metazoa	429	25	Null
P26202	Oryctolagus cuniculus	Metazoa	137	20	Null
P28770	Oncorhynchus mykiss	Metazoa	221	21	Null
P29523	Bombyx mori	Metazoa	550	39	Null
P34171	Bombyx mori	Metazoa	164	18	Null
P34951	Hordeum vulgare	Viridiplantae	143	24	Null
P35481	Cyprinus carpio	Metazoa	129	18	Null
P35777	Solenopsis invicta	Metazoa	137	19	Null
P35778	Solenopsis invicta	Metazoa	234	22	Null
P41547	Canis lupus familiaris	Metazoa	130	25	Null
P42889	Myocastor coypus	Metazoa	111	17	Null
P55319	Locusta migratoria	Metazoa	63	22	Null
P55847	Penaeus japonicus	Metazoa	105	28	Null
P58823	Phaseolus vulgaris	Viridiplantae	342	29	Null
P59899	Centruroides limpidus	Metazoa	87	19	Null
P68248	Gallus gallus	Metazoa	80	25	Null
P68416	Hydrophis hardwickii	Metazoa	81	21	Null
P69770	Conus marmoreus	Metazoa	94	25	Null
P80090	Lymnaea stagnalis	Metazoa	122	29	Null
P80686	Tenebrio molitor	Metazoa	211	16	Null
P80964	Sus scrofa	Metazoa	130	25	Null
P81295	Juniperus ashei	Viridiplantae	225	26	Null
P81511	Hirudo medicinalis	Metazoa	81	15	Null
P82103	Mytilus galloprovincialis	Metazoa	96	20	Null
P86009	Dromaius novaehollandiae	Metazoa	238	17	Null
P91745	Lucilia cuprina	Metazoa	375	20	Null
Q01584	Rhinella marina	Metazoa	183	20	Null
Q02988	Pleurodeles waltl	Metazoa	172	20	Null
Q03383	Bombyx mori	Metazoa	400	16	Null
Q06153	Ophiostoma ulmi	Fungi	100	25	Null
Q06576	Tamias sibiricus	Metazoa	215	28	Null
Q24825	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Amoebozoa	101	24	Null
Q25055	Holotrichia diomphalia	Metazoa	104	20	Null
Q25255	Lucilia cuprina	Metazoa	356	23	Null
Q26643	Sarcophaga peregrina	Metazoa	629	21	Null
Q27270	Tenebrio molitor	Metazoa	96	18	Null
Q39688	Daucus carota	Viridiplantae	389	24	Null
Q42372	Robinia pseudoacacia	Viridiplantae	286	31	Null
Q42656	Coffea arabica	Viridiplantae	378	15	Null
Q43413	Capsicum annuum	Viridiplantae	75	27	Null
Q43767	Hordeum vulgare	Viridiplantae	115	25	Null
Q53B59	Ophiophagus hannah	Metazoa	91	21	Null
Q56S59	Nicotiana tabacum	Viridiplantae	150	23	Null
Q5D710	Scylla serrata	Metazoa	126	24	Null
Q5G8A6	Tityus costatus	Metazoa	87	19	Null
Q64HC7	Armadillidium vulgare	Metazoa	73	19	Null
Q6F4C6	Pinctada fucata	Metazoa	121	16	Null
Q6IY74	Oryctolagus cuniculus	Metazoa	141	18	Null
Q6T6C1	Theromyzon tessulatum	Metazoa	107	21	Null
Q6T6S5	Bitis gabonica	Metazoa	90	24	Null
Q765P4	Holotrichia diomphalia	Metazoa	197	23	Null
Q7YT16	Musca domestica	Metazoa	141	19	Null
Q7ZZN9	Protobothrops jerdonii	Metazoa	240	19	Null
Q86R84	Dermatophagoides farinae	Metazoa	462	25	Null
Q8JIW1	Deinagkistrodon acutus	Metazoa	146	23	Null
Q91055	Heloderma horridum horridum	Metazoa	242	19	Null
Q9GV28	Bombyx mori	Metazoa	433	16	Null
Q9NBW4	Theromyzon tessulatum	Metazoa	101	19	Null
Q9YGI0	Bungarus multicinctus	Metazoa	86	21	Null
Q9ZT66	Zea mays	Viridiplantae	303	43	Null
A0A1W6EVM7	Ampulex compressa	Metazoa	50	26	Null
A7L036	Chironex fleckeri	Metazoa	462	17	Null
A9XE60	Mesobuthus eupeus	Metazoa	91	19	Null
B2BRQ5	Austrelaps labialis	Metazoa	96	21	Null
B6RLX2	Ophiophagus hannah	Metazoa	83	25	Null
C0HLA0	Chamaecyparis obtusa	Viridiplantae	556	28	Null
C1IC48	Walterinnesia aegyptia	Metazoa	83	21	Null
C1IC50	Walterinnesia aegyptia	Metazoa	81	24	Null
C9X4K1	Tityus discrepans	Metazoa	83	20	Null
E2DQZ5	Protobothrops jerdonii	Metazoa	148	23	Null
E2DQZ6	Protobothrops jerdonii	Metazoa	158	23	Null
I7JUQ0	Bitis rhinoceros	Metazoa	156	23	Null
K9N4Q4	Phlebotomus papatasi	Metazoa	246	23	Null
O04004	Ambrosia artemisiifolia	Viridiplantae	118	25	Null
O42257	Naja sputatrix	Metazoa	90	21	Null
O46655	Sus scrofa	Metazoa	132	19	Null
O48540	Solanum lycopersicum	Viridiplantae	397	23	Null
O57690	Protobothrops flavoviridis	Metazoa	200	19	Null
O73856	Naja sputatrix	Metazoa	81	21	Null
P01499	Apis mellifera	Metazoa	50	27	Null
P02221	Chironomus thummi thummi	Metazoa	158	15	Null
P02230	Chironomus thummi thummi	Metazoa	151	15	Null
P06912	Oryctolagus cuniculus	Metazoa	201	18	Null
P07380	Equus caballus	Metazoa	181	18	Null
P07439	Megabalanus rosa	Metazoa	162	24	Null
P07457	Zoarces americanus	Metazoa	87	22	Null
P0C1X6	Tityus discrepans	Metazoa	62	26	Null
P0DPU2	Scolopendra dehaani	Metazoa	211	20	Null
P0DPV0	Scolopendra dehaani	Metazoa	101	23	Null
P0DPV6	Scolopendra dehaani	Metazoa	76	23	Null
P0DQE1	Scolopendra dehaani	Metazoa	109	23	Null
P0DUS5	Doratifera vulnerans	Metazoa	57	24	Null
P0DUT0	Doratifera vulnerans	Metazoa	46	19	Null
P10298	Cyprinus carpio	Metazoa	210	23	Null
P10459	Laticauda laticaudata	Metazoa	83	21	Null
P10975	Ricinus communis	Viridiplantae	116	24	Null
P13083	Cavia porcellus	Metazoa	126	26	Null
P16851	Triticum aestivum	Viridiplantae	145	25	Null
P19959	Aipysurus laevis	Metazoa	81	21	Null
P23438	Canis lupus familiaris	Metazoa	183	17	Null
P24854	Sus scrofa	Metazoa	259	22	Null
P28041	Hordeum vulgare	Viridiplantae	145	25	Null
P29064	Candida tsukubaensis	Fungi	1070	35	Null
P31608	Sagittaria sagittifolia	Viridiplantae	181	24	Null
P33577	Petromyzon marinus	Metazoa	119	19	Null
P35502	Myzus persicae	Metazoa	564	23	Null
P35775	Solenopsis invicta	Metazoa	138	19	Null
P37109	Sus scrofa	Metazoa	86	26	Null
P39037	Sus scrofa	Metazoa	232	15	Null
P42256	Aspergillus niger	Fungi	321	19	Null
P45696	Androctonus australis	Metazoa	59	22	Null
P47796	Gadus morhua	Metazoa	263	18	Null
P48842	Aspergillus aculeatus	Fungi	350	16	Null
P56611	Tityus bahiensis	Metazoa	84	20	Null
P56626	Trichosanthes anguina	Viridiplantae	294	19	Null
P67788	Manduca sexta	Metazoa	65	19	Null
P80392	Meleagris gallopavo	Metazoa	64	28	Null
P81492	Hirudinaria manillensis	Metazoa	84	20	Null
P82187	Equus caballus	Metazoa	185	20	Null
P83618	Panax ginseng	Viridiplantae	238	23	Null
P84298	Chironomus thummi thummi	Metazoa	161	16	Null
Q01528	Limulus polyphemus	Metazoa	172	19	Null
Q03472	Sus scrofa	Metazoa	202	28	Null
Q06577	Tamias sibiricus	Metazoa	215	30	Null
Q09022	Xenopus laevis	Metazoa	84	18	Null
Q0ZSU5	Phlebotomus argentipes	Metazoa	398	18	Null
Q27441	Aplysia californica	Metazoa	92	21	Null
Q29616	Macropus giganteus	Metazoa	149	22	Null
Q38L02	Daboia siamensis	Metazoa	154	23	Null
Q40975	Papaver rhoeas	Viridiplantae	139	19	Null
Q41015	Pisum sativum	Viridiplantae	217	26	Null
Q43418	Colocasia esculenta	Viridiplantae	229	23	Null
Q43871	Hordeum vulgare	Viridiplantae	115	25	Null
Q50KB1	Emiliania huxleyi	Haptista	223	17	Null
Q589G4	Anoplius samariensis	Metazoa	75	17	Null
Q5FZI6	Protobothrops mucrosquamatus	Metazoa	156	23	Null
Q5GQ85	Argas reflexus	Metazoa	159	16	Null
Q5W280	Bombina orientalis	Metazoa	96	19	Null
Q60477	Cavia porcellus	Metazoa	244	21	Null
Q70SU7	Salvelinus alpinus	Metazoa	342	19	Null
Q78CF9	Notechis ater	Metazoa	200	19	Null
Q7Z0T3	Aplysia californica	Metazoa	125	22	Null
Q7ZTA0	Agkistrodon piscivorus piscivorus	Metazoa	240	19	Null
Q8J0D2	Geotrichum sp. (strain M128)	Fungi	812	23	Null
Q8JI40	Gloydius blomhoffii	Metazoa	240	19	Null
Q8MUC5	Manduca sexta	Metazoa	342	15	Null
Q95UE8	Lucilia cuprina	Metazoa	220	19	Null
Q963A9	Aedes albopictus	Metazoa	60	24	Null
Q9PTT0	Naja naja	Metazoa	83	21	Null
Q9PWI3	Elaphe quadrivirgata	Metazoa	200	19	Null
A2CKF6	Bungarus fasciatus	Metazoa	86	21	Null
A7VN13	Protobothrops flavoviridis	Metazoa	107	19	Null
A7VN15	Protobothrops flavoviridis	Metazoa	79	19	Null
B3F051	Lens culinaris subsp. culinaris	Viridiplantae	74	27	Null
C6JUN9	Micrurus corallinus	Metazoa	158	23	Null
C9X4K7	Tityus discrepans	Metazoa	85	21	Null
F5CPD3	Micrurus altirostris	Metazoa	85	21	Null
F5CPD6	Micrurus altirostris	Metazoa	83	21	Null
F5CPE3	Micrurus altirostris	Metazoa	74	21	Null
G9M8X1	Nephotettix cincticeps	Metazoa	687	19	Null
O60046	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	217	20	Null
O73857	Naja sputatrix	Metazoa	81	21	Null
O96059	Bombyx mori	Metazoa	66	24	Null
P01076	Solanum lycopersicum	Viridiplantae	77	32	Null
P01384	Notechis scutatus scutatus	Metazoa	94	21	Null
P01412	Ophiophagus hannah	Metazoa	83	21	Null
P02222	Chironomus thummi thummi	Metazoa	160	15	Null
P02758	Equus caballus	Metazoa	180	18	Null
P04148	Bombyx mori	Metazoa	220	16	Null
P08375	Sarcophaga peregrina	Metazoa	63	23	Null
P09318	Oreochromis mossambicus	Metazoa	200	23	Null
P0C552	Bungarus fasciatus	Metazoa	78	21	Null
P0C553	Bungarus fasciatus	Metazoa	79	21	Null
P0C554	Bungarus fasciatus	Metazoa	86	21	Null
P0DPU7	Scolopendra dehaani	Metazoa	78	25	Null
P0DPU9	Myrmecia gulosa	Metazoa	67	25	Null
P0DPV1	Scolopendra dehaani	Metazoa	97	23	Null
P0DPV2	Scolopendra dehaani	Metazoa	210	23	Null
P0DPV5	Scolopendra dehaani	Metazoa	76	23	Null
P0DQC1	Scolopendra dehaani	Metazoa	92	20	Null
P0DUS8	Doratifera vulnerans	Metazoa	59	17	Null
P10457	Laticauda colubrina	Metazoa	83	21	Null
P10822	Psophocarpus tetragonolobus	Viridiplantae	207	24	Null
P14217	Chlamydomonas reinhardtii	Viridiplantae	647	21	Null
P16850	Triticum aestivum	Viridiplantae	145	25	Null
P18328	Dendroaspis angusticeps	Metazoa	86	21	Null
P19204	Gallus gallus	Metazoa	406	19	Null
P19872	Locusta migratoria	Metazoa	77	22	Null
P20362	Paralichthys olivaceus	Metazoa	231	24	Null
P22323	Cavia porcellus	Metazoa	410	24	Null
P22922	Bombyx mori	Metazoa	392	16	Null
P23044	Robillarda sp. (strain Y-20)	Fungi	385	17	Null
P24478	Trichosanthes kirilowii	Viridiplantae	289	21	Null
P25497	Pseudechis australis	Metazoa	83	21	Null
P25871	Nicotiana tabacum	Viridiplantae	251	21	Null
P27613	Trichostrongylus colubriformis	Metazoa	173	15	Null
P31419	Manduca sexta	Metazoa	161	20	Null
P33575	Petromyzon marinus	Metazoa	139	19	Null
P33679	Zea mays	Viridiplantae	227	20	Null
P35578	Zootoca vivipara	Metazoa	172	21	Null
P42255	Aspergillus niger	Fungi	499	18	Null
P55057	Oryctolagus cuniculus	Metazoa	124	27	Null
P60771	Naja kaouthia	Metazoa	83	21	Null
P62931	Pisum sativum	Viridiplantae	130	26	Null
P81418	Phytolacca americana	Viridiplantae	65	27	Null
P81941	Pseudopleuronectes americanus	Metazoa	68	22	Null
P82007	Helianthus annuus	Viridiplantae	116	26	Null
P82144	Gloydius brevicaudus siniticus	Metazoa	200	19	Null
P83508	Cavia porcellus	Metazoa	170	16	Null
P85204	Actinidia chinensis var. chinensis	Viridiplantae	114	25	Null
P86870	Vespa magnifica	Metazoa	225	23	Null
P91627	Drosophila miranda	Metazoa	138	16	Null
Q00855	Dermatophagoides farinae	Metazoa	146	17	Null
Q06K61	Phlebotomus duboscqi	Metazoa	516	20	Null
Q06K97	Phlebotomus duboscqi	Metazoa	395	18	Null
Q06KA5	Phlebotomus duboscqi	Metazoa	142	20	Null
Q1ZYQ8	Zea mays	Viridiplantae	270	31	Null
Q28631	Oryctolagus cuniculus	Metazoa	123	28	Null
Q29W25	Crocus sativus	Viridiplantae	168	26	Null
Q41260	Phalaris aquatica	Viridiplantae	269	29	Null
Q53B52	Ophiophagus hannah	Metazoa	78	21	Null
Q5F0I3	Gynostemma pentaphyllum	Viridiplantae	300	23	Null
Q5UFR8	Hydrophis peronii	Metazoa	81	21	Null
Q6X5T3	Bitis arietans	Metazoa	152	23	Null
Q7T2Q6	Bungarus flaviceps flaviceps	Metazoa	83	24	Null
Q86SD9	Androctonus amoreuxi	Metazoa	86	19	Null
Q86SE0	Androctonus amoreuxi	Metazoa	86	20	Null
Q86SE1	Androctonus amoreuxi	Metazoa	83	19	Null
Q8MUP7	Ixodes scapularis	Metazoa	102	21	Null
Q8T0W4	Pimpla hypochondriaca	Metazoa	77	23	Null
Q8T635	Manduca sexta	Metazoa	200	18	Null
Q9GSA4	Galleria mellonella	Metazoa	113	19	Null
Q9HGE1	Humicola insolens	Fungi	227	36	Null
Q9LLT1	Juniperus virginiana	Viridiplantae	367	21	Null
Q9PW19	Bungarus multicinctus	Metazoa	103	21	Null
Q9YGI4	Naja atra	Metazoa	86	21	Null
Q9YGN4	Gloydius brevicauda	Metazoa	145	23	Null
Q9YGN5	Gloydius brevicauda	Metazoa	154	23	Null
W1I921	Achatina achatina	Metazoa	184	26	Null
P01724	Mus musculus	Metazoa	129	19	Null
P01795	Mus musculus	Metazoa	144	19	Null
P01639	Mus musculus	Metazoa	130	22	Null
P01661	Mus musculus	Metazoa	131	20	Null
P31110	Oryza sativa subsp. japonica	Viridiplantae	177	26	Null
P81828	Rattus norvegicus	Metazoa	101	21	Null
P01658	Mus musculus	Metazoa	132	20	Null
P01822	Mus musculus	Metazoa	137	18	Null
P82384	Drosophila melanogaster	Metazoa	92	16	Null
P01729	Mus musculus	Metazoa	129	19	Null
P01634	Mus musculus	Metazoa	136	29	Null
P81827	Rattus norvegicus	Metazoa	101	21	Null
A3RJ36	Bubalus bubalis	Metazoa	64	24	Null
C6JUP1	Micrurus corallinus	Metazoa	84	21	Null
C6JUP2	Micrurus corallinus	Metazoa	88	21	Null
I6S7I0	Scolopendra mutilans	Metazoa	64	18	Null
P15450	Apis mellifera	Metazoa	53	19	Null
P21978	Leishmania amazonensis	Discoba	476	32	Null
P27919	Avena sativa	Viridiplantae	214	28	Null
Q07CZ7	Lutzomyia longipalpis	Metazoa	397	18	Null
Q0ZS88	Phlebotomus perniciosus	Metazoa	388	18	Null
Q8MMH0	Pimpla hypochondriaca	Metazoa	109	21	Null
Q8T0W1	Pimpla hypochondriaca	Metazoa	115	22	Null
Q8T0W3	Pimpla hypochondriaca	Metazoa	63	25	Null
Q8T113	Bombyx mori	Metazoa	227	17	Null
Q95VP3	Epiphyas postvittana	Metazoa	166	24	Null
A0A0F7YYX3	Conus victoriae	Metazoa	196	25	Null
P58370	Micrurus corallinus	Metazoa	86	21	Null
P85196	Lonomia obliqua	Metazoa	183	15	Null
P85197	Lonomia obliqua	Metazoa	180	16	Null
P86872	Margaritifera margaritifera	Metazoa	260	19	Null
Q5D231	Illawarra wisharti	Metazoa	84	18	Null
Q7Z1K3	Anisakis simplex	Metazoa	194	23	Null
Q8JFE6	Bombina maxima	Metazoa	96	19	Null
Q9NL39	Pinctada maxima	Metazoa	140	25	Null
B3STN7	Nosema bombycis (strain CQ1 / CVCC 102059)	Fungi	316	18	Null
O02380	Tyrophagus putrescentiae	Metazoa	141	15	Null
O76192	Galleria mellonella	Metazoa	167	17	Null
P43174	Ambrosia psilostachya	Viridiplantae	77	22	Null
Q0ZS87	Phlebotomus perniciosus	Metazoa	393	18	Null
Q41350	Solanum lycopersicum	Viridiplantae	252	24	Null
Q9TT95	Sus scrofa	Metazoa	120	22	Null
A0A2J6KL39	Lactuca sativa	Viridiplantae	117	25	Null
B3STN5	Nosema bombycis (strain CQ1 / CVCC 102059)	Fungi	278	19	Null
E0X9F6	Thaumetopoea pityocampa	Metazoa	126	18	Null
P05560	Dromaius novaehollandiae	Metazoa	207	23	Null
P0DMD3	Scolopendra mutilans	Metazoa	105	21	Null
P42579	Lymnaea stagnalis	Metazoa	100	23	Null
P51456	Oryctolagus cuniculus	Metazoa	178	20	Null
Q00802	Bombyx mori	Metazoa	256	17	Null
Q01774	Drosophila miranda	Metazoa	112	16	Null
Q2A783	Triticum aestivum	Viridiplantae	285	18	Null
Q39962	Hevea brasiliensis	Viridiplantae	238	31	Null
