Accession	Organism	Kingdom	Sequence length	SP cleavage
P14946	263	1	23	Lolium perenne	Viridiplantae
P15818	87	1	21	Bungarus multicinctus	Metazoa
P17314	168	1	25	Triticum aestivum	Viridiplantae
P22327	624	1	18	Trichoplusia ni	Metazoa
P24330	70	1	22	Crotalus adamanteus	Metazoa
P24336	85	1	21	Hottentotta judaicus	Metazoa
P25289	137	1	31	Lymnaea stagnalis	Metazoa
P25331	88	1	26	Bombyx mori	Metazoa
P25404	63	1	27	Mirabilis jalapa	Viridiplantae
P26461	97	1	26	Sus scrofa	Metazoa
P26780	99	1	30	Sinapis alba	Viridiplantae
P31420	274	1	18	Manduca sexta	Metazoa
P32947	549	1	15	Diutina rugosa	Fungi
P34170	160	1	20	Bombyx mori	Metazoa
P34174	164	1	22	Bombyx mori	Metazoa
P34754	479	1	19	Aspergillus niger	Fungi
P35501	552	1	23	Myzus persicae	Metazoa
P35759	226	1	21	Polistes exclamans	Metazoa
P45590	129	1	17	Hyalophora cecropia	Metazoa
P49125	88	1	18	Latrodectus tredecimguttatus	Metazoa
P51919	95	1	25	Sparus aurata	Metazoa
P58912	488	1	21	Phyllodiscus semoni	Metazoa
P60302	81	1	21	Naja sputatrix	Metazoa
P62928	130	1	26	Pisum sativum	Viridiplantae
P80915	102	1	26	Macadamia integrifolia	Viridiplantae
P82102	96	1	20	Mytilus galloprovincialis	Metazoa
P83472	86	1	22	Lumbricus terrestris	Metazoa
P83632	236	1	17	Galleria mellonella	Metazoa
P84296	161	1	16	Chironomus thummi thummi	Metazoa
P84685	85	1	20	Tityus obscurus	Metazoa
P84688	84	1	20	Tityus obscurus	Metazoa
P85840	416	1	24	Tityus serrulatus	Metazoa
P86875	357	1	26	Vespa magnifica	Metazoa
P97515	348	1	18	Meriones unguiculatus	Metazoa
Q02942	726	1	16	Blaberus discoidalis	Metazoa
Q07831	97	1	20	Entamoeba histolytica	Amoebozoa
Q25588	135	1	26	Faxonius limosus	Metazoa
Q28388	180	1	18	Equus caballus	Metazoa
Q30HU9	90	1	19	Crassostrea virginica	Metazoa
Q41159	285	1	31	Robinia pseudoacacia	Viridiplantae
Q53B47	78	1	21	Ophiophagus hannah	Metazoa
Q6IV20	104	1	22	Gallus gallus	Metazoa
Q6T6C2	97	1	22	Theromyzon tessulatum	Metazoa
Q6T6T5	90	1	24	Bitis gabonica	Metazoa
Q765P3	187	1	19	Holotrichia diomphalia	Metazoa
Q7Z0H4	55	1	23	Olivierus martensii	Metazoa
Q867W1	76	1	27	Procambarus clarkii	Metazoa
Q8HYA9	185	1	20	Sus scrofa	Metazoa
Q8JGT9	237	1	18	Rhabdophis tigrinus tigrinus	Metazoa
Q8RVH5	433	1	24	Glycine max	Viridiplantae
Q8T0W2	203	1	19	Pimpla hypochondriaca	Metazoa
Q8WRY4	84	1	19	Centruroides limpidus	Metazoa
Q90WJ9	391	1	20	Takifugu pardalis	Metazoa
Q9BJX2	54	1	23	Olivierus martensii	Metazoa
Q9DEA1	146	1	23	Deinagkistrodon acutus	Metazoa
Q9PWI4	202	1	19	Elaphe quadrivirgata	Metazoa
Q9SW93	113	1	22	Lilium longiflorum	Viridiplantae
Q9UAH3	129	1	23	Pinctada fucata	Metazoa
Q9W7J5	103	1	21	Pseudonaja textilis	Metazoa
Q9XTN0	196	1	23	Bombyx mori	Metazoa
Q9Y0X9	59	1	23	Aedes albopictus	Metazoa
A0AT29	118	1	25	Lens culinaris	Viridiplantae
A2CKF7	86	1	21	Bungarus fasciatus	Metazoa
B0JFB8	105	1	19	Antheraea mylitta	Metazoa
B5LYJ9	256	1	23	Remusatia vivipara	Viridiplantae
C0HJQ5	57	1	28	Mesobuthus eupeus	Metazoa
C0HKR1	73	1	20	Agrotis ipsilon	Metazoa
C0STK7	332	1	23	Elaphe climacophora	Metazoa
C6JUP3	82	1	21	Micrurus corallinus	Metazoa
C9X4K4	82	1	20	Tityus discrepans	Metazoa
E0XKJ8	256	1	16	Tabanus yao	Metazoa
F5CPD5	81	1	21	Micrurus altirostris	Metazoa
F5CPE0	80	1	21	Micrurus altirostris	Metazoa
F5CPE4	83	1	21	Micrurus altirostris	Metazoa
F8S0Y4	240	1	19	Crotalus adamanteus	Metazoa
I6S390	76	1	22	Scolopendra mutilans	Metazoa
O76537	182	1	16	Trichoplusia ni	Metazoa
P00719	204	1	19	Struthio camelus	Metazoa
P02223	161	1	16	Chironomus thummi thummi	Metazoa
P02896	526	1	33	Trypanosoma brucei brucei	Discoba
P03998	195	1	20	Limulus polyphemus	Metazoa
P06306	110	1	24	Felis catus	Metazoa
P09319	212	1	24	Oreochromis mossambicus	Metazoa
P09350	246	1	19	Physarum polycephalum	Amoebozoa
P0DPU3	577	1	25	Scolopendra dehaani	Metazoa
P0DPV3	73	1	23	Scolopendra dehaani	Metazoa
P0DUQ6	70	1	21	Conus planorbis	Metazoa
P0DUS7	56	1	19	Doratifera vulnerans	Metazoa
P11919	88	1	26	Manduca sexta	Metazoa
P12548	161	1	16	Chironomus thummi thummi	Metazoa
P12549	161	1	16	Chironomus thummi thummi	Metazoa
P12550	162	1	16	Chironomus thummi thummi	Metazoa
P15570	118	1	20	Phytophthora cryptogea	Sar
P16094	286	1	23	Momordica charantia	Viridiplantae
P18684	101	1	18	Protophormia terraenovae	Metazoa
P20797	163	1	21	Antheraea polyphemus	Metazoa
P21814	429	1	25	Ovis aries	Metazoa
P26202	137	1	20	Oryctolagus cuniculus	Metazoa
P28770	221	1	21	Oncorhynchus mykiss	Metazoa
P29523	550	1	39	Bombyx mori	Metazoa
P34171	164	1	18	Bombyx mori	Metazoa
P34951	143	1	24	Hordeum vulgare	Viridiplantae
P35481	129	1	18	Cyprinus carpio	Metazoa
P35777	137	1	19	Solenopsis invicta	Metazoa
P35778	234	1	22	Solenopsis invicta	Metazoa
P41547	130	1	25	Canis lupus familiaris	Metazoa
P42889	111	1	17	Myocastor coypus	Metazoa
P55319	63	1	22	Locusta migratoria	Metazoa
P55847	105	1	28	Penaeus japonicus	Metazoa
P58823	342	1	29	Phaseolus vulgaris	Viridiplantae
P59899	87	1	19	Centruroides limpidus	Metazoa
P68248	80	1	25	Gallus gallus	Metazoa
P68416	81	1	21	Hydrophis hardwickii	Metazoa
P69770	94	1	25	Conus marmoreus	Metazoa
P80090	122	1	29	Lymnaea stagnalis	Metazoa
P80686	211	1	16	Tenebrio molitor	Metazoa
P80964	130	1	25	Sus scrofa	Metazoa
P81295	225	1	26	Juniperus ashei	Viridiplantae
P81511	81	1	15	Hirudo medicinalis	Metazoa
P82103	96	1	20	Mytilus galloprovincialis	Metazoa
P86009	238	1	17	Dromaius novaehollandiae	Metazoa
P91745	375	1	20	Lucilia cuprina	Metazoa
Q01584	183	1	20	Rhinella marina	Metazoa
Q02988	172	1	20	Pleurodeles waltl	Metazoa
Q03383	400	1	16	Bombyx mori	Metazoa
Q06153	100	1	25	Ophiostoma ulmi	Fungi
Q06576	215	1	28	Tamias sibiricus	Metazoa
Q24825	101	1	24	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Amoebozoa
Q25055	104	1	20	Holotrichia diomphalia	Metazoa
Q25255	356	1	23	Lucilia cuprina	Metazoa
Q26643	629	1	21	Sarcophaga peregrina	Metazoa
Q27270	96	1	18	Tenebrio molitor	Metazoa
Q39688	389	1	24	Daucus carota	Viridiplantae
Q42372	286	1	31	Robinia pseudoacacia	Viridiplantae
Q42656	378	1	15	Coffea arabica	Viridiplantae
Q43413	75	1	27	Capsicum annuum	Viridiplantae
Q43767	115	1	25	Hordeum vulgare	Viridiplantae
Q53B59	91	1	21	Ophiophagus hannah	Metazoa
Q56S59	150	1	23	Nicotiana tabacum	Viridiplantae
Q5D710	126	1	24	Scylla serrata	Metazoa
Q5G8A6	87	1	19	Tityus costatus	Metazoa
Q64HC7	73	1	19	Armadillidium vulgare	Metazoa
Q6F4C6	121	1	16	Pinctada fucata	Metazoa
Q6IY74	141	1	18	Oryctolagus cuniculus	Metazoa
Q6T6C1	107	1	21	Theromyzon tessulatum	Metazoa
Q6T6S5	90	1	24	Bitis gabonica	Metazoa
Q765P4	197	1	23	Holotrichia diomphalia	Metazoa
Q7YT16	141	1	19	Musca domestica	Metazoa
Q7ZZN9	240	1	19	Protobothrops jerdonii	Metazoa
Q86R84	462	1	25	Dermatophagoides farinae	Metazoa
Q8JIW1	146	1	23	Deinagkistrodon acutus	Metazoa
Q91055	242	1	19	Heloderma horridum horridum	Metazoa
Q9GV28	433	1	16	Bombyx mori	Metazoa
Q9NBW4	101	1	19	Theromyzon tessulatum	Metazoa
Q9YGI0	86	1	21	Bungarus multicinctus	Metazoa
Q9ZT66	303	1	43	Zea mays	Viridiplantae
A0A1W6EVM7	50	1	26	Ampulex compressa	Metazoa
A7L036	462	1	17	Chironex fleckeri	Metazoa
A9XE60	91	1	19	Mesobuthus eupeus	Metazoa
B2BRQ5	96	1	21	Austrelaps labialis	Metazoa
B6RLX2	83	1	25	Ophiophagus hannah	Metazoa
C0HLA0	556	1	28	Chamaecyparis obtusa	Viridiplantae
C1IC48	83	1	21	Walterinnesia aegyptia	Metazoa
C1IC50	81	1	24	Walterinnesia aegyptia	Metazoa
C9X4K1	83	1	20	Tityus discrepans	Metazoa
E2DQZ5	148	1	23	Protobothrops jerdonii	Metazoa
E2DQZ6	158	1	23	Protobothrops jerdonii	Metazoa
I7JUQ0	156	1	23	Bitis rhinoceros	Metazoa
K9N4Q4	246	1	23	Phlebotomus papatasi	Metazoa
O04004	118	1	25	Ambrosia artemisiifolia	Viridiplantae
O42257	90	1	21	Naja sputatrix	Metazoa
O46655	132	1	19	Sus scrofa	Metazoa
O48540	397	1	23	Solanum lycopersicum	Viridiplantae
O57690	200	1	19	Protobothrops flavoviridis	Metazoa
O73856	81	1	21	Naja sputatrix	Metazoa
P01499	50	1	27	Apis mellifera	Metazoa
P02221	158	1	15	Chironomus thummi thummi	Metazoa
P02230	151	1	15	Chironomus thummi thummi	Metazoa
P06912	201	1	18	Oryctolagus cuniculus	Metazoa
P07380	181	1	18	Equus caballus	Metazoa
P07439	162	1	24	Megabalanus rosa	Metazoa
P07457	87	1	22	Zoarces americanus	Metazoa
P0C1X6	62	1	26	Tityus discrepans	Metazoa
P0DPU2	211	1	20	Scolopendra dehaani	Metazoa
P0DPV0	101	1	23	Scolopendra dehaani	Metazoa
P0DPV6	76	1	23	Scolopendra dehaani	Metazoa
P0DQE1	109	1	23	Scolopendra dehaani	Metazoa
P0DUS5	57	1	24	Doratifera vulnerans	Metazoa
P0DUT0	46	1	19	Doratifera vulnerans	Metazoa
P10298	210	1	23	Cyprinus carpio	Metazoa
P10459	83	1	21	Laticauda laticaudata	Metazoa
P10975	116	1	24	Ricinus communis	Viridiplantae
P13083	126	1	26	Cavia porcellus	Metazoa
P16851	145	1	25	Triticum aestivum	Viridiplantae
P19959	81	1	21	Aipysurus laevis	Metazoa
P23438	183	1	17	Canis lupus familiaris	Metazoa
P24854	259	1	22	Sus scrofa	Metazoa
P28041	145	1	25	Hordeum vulgare	Viridiplantae
P29064	1070	1	35	Candida tsukubaensis	Fungi
P31608	181	1	24	Sagittaria sagittifolia	Viridiplantae
P33577	119	1	19	Petromyzon marinus	Metazoa
P35502	564	1	23	Myzus persicae	Metazoa
P35775	138	1	19	Solenopsis invicta	Metazoa
P37109	86	1	26	Sus scrofa	Metazoa
P39037	232	1	15	Sus scrofa	Metazoa
P42256	321	1	19	Aspergillus niger	Fungi
P45696	59	1	22	Androctonus australis	Metazoa
P47796	263	1	18	Gadus morhua	Metazoa
P48842	350	1	16	Aspergillus aculeatus	Fungi
P56611	84	1	20	Tityus bahiensis	Metazoa
P56626	294	1	19	Trichosanthes anguina	Viridiplantae
P67788	65	1	19	Manduca sexta	Metazoa
P80392	64	1	28	Meleagris gallopavo	Metazoa
P81492	84	1	20	Hirudinaria manillensis	Metazoa
P82187	185	1	20	Equus caballus	Metazoa
P83618	238	1	23	Panax ginseng	Viridiplantae
P84298	161	1	16	Chironomus thummi thummi	Metazoa
Q01528	172	1	19	Limulus polyphemus	Metazoa
Q03472	202	1	28	Sus scrofa	Metazoa
Q06577	215	1	30	Tamias sibiricus	Metazoa
Q09022	84	1	18	Xenopus laevis	Metazoa
Q0ZSU5	398	1	18	Phlebotomus argentipes	Metazoa
Q27441	92	1	21	Aplysia californica	Metazoa
Q29616	149	1	22	Macropus giganteus	Metazoa
Q38L02	154	1	23	Daboia siamensis	Metazoa
Q40975	139	1	19	Papaver rhoeas	Viridiplantae
Q41015	217	1	26	Pisum sativum	Viridiplantae
Q43418	229	1	23	Colocasia esculenta	Viridiplantae
Q43871	115	1	25	Hordeum vulgare	Viridiplantae
Q50KB1	223	1	17	Emiliania huxleyi	Haptista
Q589G4	75	1	17	Anoplius samariensis	Metazoa
Q5FZI6	156	1	23	Protobothrops mucrosquamatus	Metazoa
Q5GQ85	159	1	16	Argas reflexus	Metazoa
Q5W280	96	1	19	Bombina orientalis	Metazoa
Q60477	244	1	21	Cavia porcellus	Metazoa
Q70SU7	342	1	19	Salvelinus alpinus	Metazoa
Q78CF9	200	1	19	Notechis ater	Metazoa
Q7Z0T3	125	1	22	Aplysia californica	Metazoa
Q7ZTA0	240	1	19	Agkistrodon piscivorus piscivorus	Metazoa
Q8J0D2	812	1	23	Geotrichum sp. (strain M128)	Fungi
Q8JI40	240	1	19	Gloydius blomhoffii	Metazoa
Q8MUC5	342	1	15	Manduca sexta	Metazoa
Q95UE8	220	1	19	Lucilia cuprina	Metazoa
Q963A9	60	1	24	Aedes albopictus	Metazoa
Q9PTT0	83	1	21	Naja naja	Metazoa
Q9PWI3	200	1	19	Elaphe quadrivirgata	Metazoa
A2CKF6	86	1	21	Bungarus fasciatus	Metazoa
A7VN13	107	1	19	Protobothrops flavoviridis	Metazoa
A7VN15	79	1	19	Protobothrops flavoviridis	Metazoa
B3F051	74	1	27	Lens culinaris subsp. culinaris	Viridiplantae
C6JUN9	158	1	23	Micrurus corallinus	Metazoa
C9X4K7	85	1	21	Tityus discrepans	Metazoa
F5CPD3	85	1	21	Micrurus altirostris	Metazoa
F5CPD6	83	1	21	Micrurus altirostris	Metazoa
F5CPE3	74	1	21	Micrurus altirostris	Metazoa
G9M8X1	687	1	19	Nephotettix cincticeps	Metazoa
O60046	217	1	20	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi
O73857	81	1	21	Naja sputatrix	Metazoa
O96059	66	1	24	Bombyx mori	Metazoa
P01076	77	1	32	Solanum lycopersicum	Viridiplantae
P01384	94	1	21	Notechis scutatus scutatus	Metazoa
P01412	83	1	21	Ophiophagus hannah	Metazoa
P02222	160	1	15	Chironomus thummi thummi	Metazoa
P02758	180	1	18	Equus caballus	Metazoa
P04148	220	1	16	Bombyx mori	Metazoa
P08375	63	1	23	Sarcophaga peregrina	Metazoa
P09318	200	1	23	Oreochromis mossambicus	Metazoa
P0C552	78	1	21	Bungarus fasciatus	Metazoa
P0C553	79	1	21	Bungarus fasciatus	Metazoa
P0C554	86	1	21	Bungarus fasciatus	Metazoa
P0DPU7	78	1	25	Scolopendra dehaani	Metazoa
P0DPU9	67	1	25	Myrmecia gulosa	Metazoa
P0DPV1	97	1	23	Scolopendra dehaani	Metazoa
P0DPV2	210	1	23	Scolopendra dehaani	Metazoa
P0DPV5	76	1	23	Scolopendra dehaani	Metazoa
P0DQC1	92	1	20	Scolopendra dehaani	Metazoa
P0DUS8	59	1	17	Doratifera vulnerans	Metazoa
P10457	83	1	21	Laticauda colubrina	Metazoa
P10822	207	1	24	Psophocarpus tetragonolobus	Viridiplantae
P14217	647	1	21	Chlamydomonas reinhardtii	Viridiplantae
P16850	145	1	25	Triticum aestivum	Viridiplantae
P18328	86	1	21	Dendroaspis angusticeps	Metazoa
P19204	406	1	19	Gallus gallus	Metazoa
P19872	77	1	22	Locusta migratoria	Metazoa
P20362	231	1	24	Paralichthys olivaceus	Metazoa
P22323	410	1	24	Cavia porcellus	Metazoa
P22922	392	1	16	Bombyx mori	Metazoa
P23044	385	1	17	Robillarda sp. (strain Y-20)	Fungi
P24478	289	1	21	Trichosanthes kirilowii	Viridiplantae
P25497	83	1	21	Pseudechis australis	Metazoa
P25871	251	1	21	Nicotiana tabacum	Viridiplantae
P27613	173	1	15	Trichostrongylus colubriformis	Metazoa
P31419	161	1	20	Manduca sexta	Metazoa
P33575	139	1	19	Petromyzon marinus	Metazoa
P33679	227	1	20	Zea mays	Viridiplantae
P35578	172	1	21	Zootoca vivipara	Metazoa
P42255	499	1	18	Aspergillus niger	Fungi
P55057	124	1	27	Oryctolagus cuniculus	Metazoa
P60771	83	1	21	Naja kaouthia	Metazoa
P62931	130	1	26	Pisum sativum	Viridiplantae
P81418	65	1	27	Phytolacca americana	Viridiplantae
P81941	68	1	22	Pseudopleuronectes americanus	Metazoa
P82007	116	1	26	Helianthus annuus	Viridiplantae
P82144	200	1	19	Gloydius brevicaudus siniticus	Metazoa
P83508	170	1	16	Cavia porcellus	Metazoa
P85204	114	1	25	Actinidia chinensis var. chinensis	Viridiplantae
P86870	225	1	23	Vespa magnifica	Metazoa
P91627	138	1	16	Drosophila miranda	Metazoa
Q00855	146	1	17	Dermatophagoides farinae	Metazoa
Q06K61	516	1	20	Phlebotomus duboscqi	Metazoa
Q06K97	395	1	18	Phlebotomus duboscqi	Metazoa
Q06KA5	142	1	20	Phlebotomus duboscqi	Metazoa
Q1ZYQ8	270	1	31	Zea mays	Viridiplantae
Q28631	123	1	28	Oryctolagus cuniculus	Metazoa
Q29W25	168	1	26	Crocus sativus	Viridiplantae
Q41260	269	1	29	Phalaris aquatica	Viridiplantae
Q53B52	78	1	21	Ophiophagus hannah	Metazoa
Q5F0I3	300	1	23	Gynostemma pentaphyllum	Viridiplantae
Q5UFR8	81	1	21	Hydrophis peronii	Metazoa
Q6X5T3	152	1	23	Bitis arietans	Metazoa
Q7T2Q6	83	1	24	Bungarus flaviceps flaviceps	Metazoa
Q86SD9	86	1	19	Androctonus amoreuxi	Metazoa
Q86SE0	86	1	20	Androctonus amoreuxi	Metazoa
Q86SE1	83	1	19	Androctonus amoreuxi	Metazoa
Q8MUP7	102	1	21	Ixodes scapularis	Metazoa
Q8T0W4	77	1	23	Pimpla hypochondriaca	Metazoa
Q8T635	200	1	18	Manduca sexta	Metazoa
Q9GSA4	113	1	19	Galleria mellonella	Metazoa
Q9HGE1	227	1	36	Humicola insolens	Fungi
Q9LLT1	367	1	21	Juniperus virginiana	Viridiplantae
Q9PW19	103	1	21	Bungarus multicinctus	Metazoa
Q9YGI4	86	1	21	Naja atra	Metazoa
Q9YGN4	145	1	23	Gloydius brevicauda	Metazoa
Q9YGN5	154	1	23	Gloydius brevicauda	Metazoa
W1I921	184	1	26	Achatina achatina	Metazoa
P01724	129	1	19	Mus musculus	Metazoa
P01795	144	1	19	Mus musculus	Metazoa
P01639	130	1	22	Mus musculus	Metazoa
P01661	131	1	20	Mus musculus	Metazoa
P31110	177	1	26	Oryza sativa subsp. japonica	Viridiplantae
P81828	101	1	21	Rattus norvegicus	Metazoa
P01658	132	1	20	Mus musculus	Metazoa
P01822	137	1	18	Mus musculus	Metazoa
P82384	92	1	16	Drosophila melanogaster	Metazoa
P01729	129	1	19	Mus musculus	Metazoa
P01634	136	1	29	Mus musculus	Metazoa
P81827	101	1	21	Rattus norvegicus	Metazoa
A3RJ36	64	1	24	Bubalus bubalis	Metazoa
C6JUP1	84	1	21	Micrurus corallinus	Metazoa
C6JUP2	88	1	21	Micrurus corallinus	Metazoa
I6S7I0	64	1	18	Scolopendra mutilans	Metazoa
P15450	53	1	19	Apis mellifera	Metazoa
P21978	476	1	32	Leishmania amazonensis	Discoba
P27919	214	1	28	Avena sativa	Viridiplantae
Q07CZ7	397	1	18	Lutzomyia longipalpis	Metazoa
Q0ZS88	388	1	18	Phlebotomus perniciosus	Metazoa
Q8MMH0	109	1	21	Pimpla hypochondriaca	Metazoa
Q8T0W1	115	1	22	Pimpla hypochondriaca	Metazoa
Q8T0W3	63	1	25	Pimpla hypochondriaca	Metazoa
Q8T113	227	1	17	Bombyx mori	Metazoa
Q95VP3	166	1	24	Epiphyas postvittana	Metazoa
A0A0F7YYX3	196	1	25	Conus victoriae	Metazoa
P58370	86	1	21	Micrurus corallinus	Metazoa
P85196	183	1	15	Lonomia obliqua	Metazoa
P85197	180	1	16	Lonomia obliqua	Metazoa
P86872	260	1	19	Margaritifera margaritifera	Metazoa
Q5D231	84	1	18	Illawarra wisharti	Metazoa
Q7Z1K3	194	1	23	Anisakis simplex	Metazoa
Q8JFE6	96	1	19	Bombina maxima	Metazoa
Q9NL39	140	1	25	Pinctada maxima	Metazoa
B3STN7	316	1	18	Nosema bombycis (strain CQ1 / CVCC 102059)	Fungi
O02380	141	1	15	Tyrophagus putrescentiae	Metazoa
O76192	167	1	17	Galleria mellonella	Metazoa
P43174	77	1	22	Ambrosia psilostachya	Viridiplantae
Q0ZS87	393	1	18	Phlebotomus perniciosus	Metazoa
Q41350	252	1	24	Solanum lycopersicum	Viridiplantae
Q9TT95	120	1	22	Sus scrofa	Metazoa
A0A2J6KL39	117	1	25	Lactuca sativa	Viridiplantae
B3STN5	278	1	19	Nosema bombycis (strain CQ1 / CVCC 102059)	Fungi
E0X9F6	126	1	18	Thaumetopoea pityocampa	Metazoa
P05560	207	1	23	Dromaius novaehollandiae	Metazoa
P0DMD3	105	1	21	Scolopendra mutilans	Metazoa
P42579	100	1	23	Lymnaea stagnalis	Metazoa
P51456	178	1	20	Oryctolagus cuniculus	Metazoa
Q00802	256	1	17	Bombyx mori	Metazoa
Q01774	112	1	16	Drosophila miranda	Metazoa
Q2A783	285	1	18	Triticum aestivum	Viridiplantae
Q39962	238	1	31	Hevea brasiliensis	Viridiplantae
Q7M3V1	246	1	20	Chelonus sp. nr. curvimaculatus	Metazoa
Q8MMH5	61	1	20	Pimpla hypochondriaca	Metazoa
Q9PRI1	78	1	21	Micrurus corallinus	Metazoa
A0AT32	118	1	25	Lens culinaris	Viridiplantae
B5LZ79	75	1	30	Gymnadenia conopsea	Viridiplantae
I6RA76	64	1	18	Scolopendra mutilans	Metazoa
P10976	117	1	26	Spinacia oleracea	Viridiplantae
P91629	126	1	16	Drosophila miranda	Metazoa
Q95VP2	161	1	20	Epiphyas postvittana	Metazoa
Q9PUB7	78	1	21	Micrurus corallinus	Metazoa
